"class","zipped_size","unzipped_size","label"
"none_bzip2_zip64",537251488894,770607260395498880,""
"none_bzip2_zip64",805877233246,1155910890616198144,""
"none_bzip2_zip64",1208815849790,1733866335970196224,""
"none_bzip2_zip64",1813223774590,2600799503978244096,""
"none_bzip2_zip64",2719835661790,3901199255990315520,""
"full_deflate",250,181634,""
"full_deflate",375,513939,""
"full_deflate",562,1336445,""
"full_deflate",843,3294152,""
"full_deflate",1265,7861789,""
"full_deflate",1898,18372715,""
"full_deflate",2847,42384270,""
"full_deflate",4271,96582860,""
"full_deflate",6407,218435250,""
"full_deflate",9610,493089700,""
"full_deflate",14416,1112083350,""
"full_deflate",21624,2505902625,""
"full_deflate",32436,5643843218,""
"full_deflate",48654,12707020634,""
"full_deflate",72982,28604151160,""
"full_deflate",109473,64378163220,""
"full_deflate",164210,144235480641,""
"full_deflate",246315,322832702815,""
"full_deflate",369472,723831506463,""
"full_deflate",554209,1624822122820,""
"full_deflate",831314,3650152800816,""
"full_deflate",1246971,8204297273009,""
"full_deflate",1870456,18446844806300,""
"full_deflate",2805685,41486214633971,""
"full_deflate",4208528,93315187007397,""
"full_deflate",6312792,208856479601781,""
"full_deflate_zip64",250,27865,""
"full_deflate_zip64",375,191954,""
"full_deflate_zip64",562,684219,""
"full_deflate_zip64",843,2012406,""
"full_deflate_zip64",1265,5294169,""
"full_deflate_zip64",1898,13142535,""
"full_deflate_zip64",2847,31473959,""
"full_deflate_zip64",4271,73757075,""
"full_deflate_zip64",6407,169524628,""
"full_deflate_zip64",9610,386605855,""
"full_deflate_zip64",14416,877831703,""
"full_deflate_zip64",21624,1986934547,""
"full_deflate_zip64",32436,4488366413,""
"full_deflate_zip64",48654,10125513812,""
"full_deflate_zip64",72982,22823132623,""
"full_deflate_zip64",109473,51412213031,""
"full_deflate_zip64",164210,115726920972,""
"full_deflate_zip64",246315,259123592029,""
"full_deflate_zip64",369472,581137370366,""
"full_deflate_zip64",554209,1304733909833,""
"full_deflate_zip64",831314,2931413856296,""
"full_deflate_zip64",1246971,6589323523159,""
"full_deflate_zip64",1870456,14816437347749,""
"full_deflate_zip64",2805685,33322712664495,""
"full_deflate_zip64",4208528,74954682428778,""
"full_deflate_zip64",6312792,168427561776810,""
"full_deflate_zip64",9469188,377011063280457,""
"full_deflate_zip64",14203782,845354759848351,""
"full_deflate_zip64",21305673,1897674304445201,""
"full_deflate_zip64",31958509,4263212487552055,""
"full_deflate_zip64",47937764,9582402744015280,""
"full_deflate_zip64",71906647,21545674737322696,""
"full_deflate_zip64",107859970,48455675949802072,""
"full_deflate_zip64",161789956,108992140887493952,""
"full_deflate_zip64",242684934,244737724734068736,""
"full_deflate_zip64",364027401,547994909844906240,""
"full_deflate_zip64",546041102,1228999173611294976,""
"full_deflate_zip64",819061653,2759272157372151808,""
"full_deflate_zip64",1228592480,6199406464673070080,""
"full_deflate_zip64",1842888720,13935238784256575488,""
"full_bzip2",225,183596940,""
"full_bzip2",368,688488525,""
"full_bzip2",558,1835969400,""
"full_bzip2",842,4544024265,""
"full_bzip2",1254,10740420990,""
"full_bzip2",1888,25290478485,""
"full_bzip2",2838,58567423860,""
"full_bzip2",4271,134255262375,""
"full_bzip2_zip64",225,183596940,""
"full_bzip2_zip64",415,917984700,""
"full_bzip2_zip64",669,2753954100,""
"full_bzip2_zip64",1049,7343877600,""
"full_bzip2_zip64",1621,17992500120,""
"full_bzip2_zip64",2477,43420676310,""
"full_bzip2_zip64",3743,102447092520,""
"full_bzip2_zip64",5663,235463075550,""
"full_bzip2_zip64",8575,537021049500,""
"full_bzip2_zip64",12911,1219037782365,""
"full_bzip2_zip64",19391,2761481574540,""
"full_bzip2_zip64",29135,6237843734205,""
"full_bzip2_zip64",43695,14072016962475,""
"full_bzip2_zip64",65551,31718253253635,""
"full_bzip2_zip64",98431,71455194660240,""
"full_bzip2_zip64",147876,160843312233450,""
"full_bzip2_zip64",221894,360149127714495,""
"full_bzip2_zip64",332980,807710227338510,""
"full_bzip2_zip64",499417,1813421125410840,""
"full_bzip2_zip64",749316,4074289199048250,""
"full_bzip2_zip64",1124187,9158347063938240,""
"full_bzip2_zip64",1686220,20593018126310848,""
"full_bzip2_zip64",2529661,46314425801837968,""
"full_bzip2_zip64",3794372,104177695406637824,""
"full_bzip2_zip64",5696951,234093269796476416,""
"full_bzip2_zip64",8547947,523998285653081600,""
"full_bzip2_zip64",12824441,1174937519916124416,""
"full_bzip2_zip64",19238997,2637530492826293248,""
"full_bzip2_zip64",28860817,5925333209708151808,""
"full_bzip2_zip64",43293835,13318342881040848896,""
"full_bzip2_zip64",64943095,29945797464247578624,""
"full_bzip2_zip64",97417053,67347337011381739520,""
"full_bzip2_zip64",146127915,1.51485461710272e+20,""
"full_bzip2_zip64",219402954,3.40154870156069e+20,""
"full_bzip2_zip64",329188977,7.61644479244877e+20,""
"full_bzip2_zip64",493867826,1.7081553442978e+21,""
"full_bzip2_zip64",740886285,3.83504364970272e+21,""
