engine,uncompressed_size,compressed_size
bzip2,21740255,49
bzip2,21740256,49
bzip2,21740257,49
bzip2,21740258,49
bzip2,21740259,49
bzip2,21740260,49
bzip2,21740261,49
bzip2,21740262,49
bzip2,21740263,49
bzip2,21740264,49
bzip2,21740265,49
bzip2,21740266,49
bzip2,21740267,49
bzip2,21740268,49
bzip2,21740269,47
bzip2,21740270,47
bzip2,21740271,47
bzip2,21740272,47
bzip2,21740273,47
bzip2,21740274,47
bzip2,21740275,47
bzip2,21740276,47
bzip2,21740277,47
bzip2,21740278,47
bzip2,21740279,47
bzip2,21740280,45
bzip2,21740281,46
bzip2,21740282,47
bzip2,21740283,47
bzip2,21740284,50
bzip2,21740285,50
bzip2,21740286,50
bzip2,21740287,50
bzip2,21740288,50
bzip2,21740289,50
bzip2,21740290,50
bzip2,21740291,50
bzip2,21740292,50
bzip2,21740293,50
bzip2,21740294,50
bzip2,21740295,50
bzip2,21740296,50
bzip2,21740297,50
bzip2,21740298,50
bzip2,21740299,50
bzip2,21740300,50
bzip2,21740301,50
bzip2,21740302,50
bzip2,21740303,50
bzip2,21740304,50
bzip2,21740305,50
bzip2,21740306,50
bzip2,21740307,50
bzip2,21740308,50
bzip2,21740309,50
bzip2,21740310,50
bzip2,21740311,50
bzip2,21740312,50
bzip2,21740313,50
bzip2,21740314,50
bzip2,21740315,50
bzip2,21740316,50
bzip2,21740317,50
bzip2,21740318,50
bzip2,21740319,50
bzip2,21740320,50
bzip2,21740321,50
bzip2,21740322,50
bzip2,21740323,50
bzip2,21740324,50
bzip2,21740325,50
bzip2,21740326,50
bzip2,21740327,50
bzip2,21740328,50
bzip2,21740329,50
bzip2,21740330,50
bzip2,21740331,50
bzip2,21740332,50
bzip2,21740333,50
bzip2,21740334,50
bzip2,21740335,50
bzip2,21740336,50
bzip2,21740337,50
bzip2,21740338,50
bzip2,21740339,50
bzip2,21740340,50
bzip2,21740341,50
bzip2,21740342,50
bzip2,21740343,50
bzip2,21740344,50
bzip2,21740345,50
bzip2,21740346,50
bzip2,21740347,50
bzip2,21740348,50
bzip2,21740349,50
bzip2,21740350,50
bzip2,21740351,50
bzip2,21740352,50
bzip2,21740353,50
bzip2,21740354,50
bzip2,21740355,50
bzip2,21740356,50
bzip2,21740357,50
bzip2,21740358,50
bzip2,21740359,50
bzip2,21740360,50
bzip2,21740361,50
bzip2,21740362,50
bzip2,21740363,50
bzip2,21740364,50
bzip2,21740365,50
bzip2,21740366,50
bzip2,21740367,50
bzip2,21740368,50
bzip2,21740369,50
bzip2,21740370,50
bzip2,21740371,50
bzip2,21740372,50
bzip2,21740373,50
bzip2,21740374,50
bzip2,21740375,50
bzip2,21740376,50
bzip2,21740377,50
bzip2,21740378,50
bzip2,21740379,50
bzip2,21740380,48
bzip2,21740381,47
bzip2,21740382,47
bzip2,21740383,47
